"catv" "ivv" "lvcr" "ovid" "pers" "verg"
"posse" 0.04293688278231 0.0161446561188247 0.214570137613732 0.0460953405293282 0.0449034575662326 0.0173059375098329
"aeneas" 0 0.00403616402970617 0 0.00640213062907336 0 0.240709858091312
"pectore" 0.17174753112924 0.0282531482079432 0.0453898368029049 0.0640213062907336 0.112258643915582 0.0991158239199522
"armis" 0 0.0363254762673555 0.0103158720006602 0.0307302270195521 0 0.187218778515465
"prima" 0.01431229426077 0.0686147885050048 0.0825269760052817 0.0384127837744401 0.0224517287831163 0.106982159151694
"ratione" 0 0.0121084920891185 0.295033939218882 0.00768255675488803 0.0449034575662326 0.00471980113904534
"terra" 0.07156147130385 0.0121084920891185 0.115537766407394 0.0678625846681776 0 0.0629306818539379
"igitur" 0.04293688278231 0.0847594446238295 0.235201881615053 0.011523835132332 0.112258643915582 0.00314653409269689
"manus" 0.02862458852154 0.024216984178237 0.0247580928015845 0.085788550429583 0.0673551863493489 0.100689090966301
"tantum" 0.08587376556462 0.141265741039716 0.0288844416018486 0.0665821585423629 0.0224517287831163 0.0676504829929832
"tua" 0.18605982539001 0.0565062964158863 0.0144422208009243 0.0678625846681776 0.0449034575662326 0.0975425568736037
"super" 0.01431229426077 0.024216984178237 0.049516185603169 0.0588996017874749 0 0.114848494383437
"postquam" 0.08587376556462 0.0443978043267678 0.00825269760052817 0.110116646820062 0.0898069151324652 0.0582108807148925
"quia" 0.01431229426077 0.00807232805941233 0.233138707214921 0.0294498008937374 0.0673551863493489 0.00786633523174224
"una" 0.10018605982539 0.0605424604455925 0.0866533248055458 0.0640213062907336 0.0673551863493489 0.0471980113904534
"forte" 0.02862458852154 0.0201808201485308 0.132043161608451 0.0409736360260695 0.0898069151324652 0.059784147761241
"membra" 0.05724917704308 0.024216984178237 0.134106336008583 0.0576191756616602 0 0.0393316761587112
"id" 0.20037211965078 0.0161446561188247 0.208380614413336 0.0140846873839614 0.134710372698698 0.0125861363707876
"semper" 0.1431229426077 0.0847594446238295 0.103158720006602 0.0499366189067722 0.0449034575662326 0.0346118750196658
"hanc" 0.04293688278231 0.048433968356474 0.0309476160019806 0.0806668459263243 0 0.0786633523174224
"manu" 0.01431229426077 0.00807232805941233 0.0165053952010563 0.0729842891714362 0 0.117995028476134
"tam" 0.10018605982539 0.113012592831773 0.105221894406734 0.0409736360260695 0.0449034575662326 0.0361851420660143
"circum" 0.01431229426077 0.00403616402970617 0.096969196806206 0.0140846873839614 0.0449034575662326 0.122714829615179
"dedit" 0.05724917704308 0.0565062964158863 0.0165053952010563 0.0806668459263243 0.0224517287831163 0.0786633523174224
"moenia" 0.05724917704308 0.00807232805941233 0.0268212672017166 0.0537778972842162 0 0.12114156256883
"parte" 0.04293688278231 0.0605424604455925 0.0887164992056779 0.0717038630456216 0.0224517287831163 0.0314653409269689
"procul" 0.04293688278231 0.0282531482079432 0.0598320576038293 0.0627408801649189 0 0.0770900852710739
"tellus" 0.04293688278231 0 0.0742742784047535 0.0806668459263243 0 0.0550643466221956
"caelo" 0.04293688278231 0.0121084920891185 0.049516185603169 0.0653017324165482 0 0.0849564205028162
"ita" 0.10018605982539 0.0161446561188247 0.136169510408715 0.0409736360260695 0.0449034575662326 0.0377584091123627
"lumina" 0.15743523686847 0.00807232805941233 0.0722111040046215 0.0729842891714362 0 0.0471980113904534
"magna" 0.04293688278231 0.108976428802067 0.0309476160019806 0.0422540621518841 0.0224517287831163 0.088102954595513
"artus" 0.04293688278231 0.00403616402970617 0.117600940807526 0.0640213062907336 0 0.0361851420660143
"an" 0.08587376556462 0.096867936712948 0.0536425344034331 0.0563387495358455 0.314324202963628 0.0298920738806205
"animi" 0.05724917704308 0.0363254762673555 0.160927603210299 0.0230476702646641 0 0.0377584091123627
"ea" 0 0 0.11141141760713 0.0448149144035135 0 0.0676504829929832
"licet" 0.01431229426077 0.117048756861479 0.096969196806206 0.0537778972842162 0.0898069151324652 0.014159403417136
"praeterea" 0.05724917704308 0.0443978043267678 0.196001568012544 0.00256085225162934 0 0.0314653409269689
"terras" 0 0.0121084920891185 0.103158720006602 0.0563387495358455 0 0.0550643466221956
"uis" 0.02862458852154 0.0363254762673555 0.198064742412676 0.011523835132332 0.0898069151324652 0.0188792045561814
"habet" 0.05724917704308 0.100904100742654 0.0268212672017166 0.0806668459263243 0.0898069151324652 0.0346118750196658
"erit" 0.02862458852154 0.149338069099128 0.047453011203037 0.0537778972842162 0.0449034575662326 0.0377584091123627
"eadem" 0.02862458852154 0.0887956086535357 0.115537766407394 0.0384127837744401 0 0.0298920738806205
"illis" 0 0.117048756861479 0.0371371392023768 0.089629828807027 0.0673551863493489 0.014159403417136
"post" 0.08587376556462 0.0887956086535357 0.0557057088035652 0.0537778972842162 0.0224517287831163 0.0487712784368019
"undis" 0.07156147130385 0.00403616402970617 0.0371371392023768 0.0870689765553976 0 0.0582108807148925
"ignis" 0.02862458852154 0.0121084920891185 0.140295859208979 0.0320106531453668 0 0.0471980113904534
"quaeque" 0.02862458852154 0.0322893122376493 0.165053952010563 0.0358519315228108 0.0673551863493489 0.0110128693244391
"denique" 0.04293688278231 0 0.196001568012544 0.0307302270195521 0.0224517287831163 0.00629306818539379
"fata" 0.05724917704308 0.0201808201485308 0.00206317440013204 0.0640213062907336 0.0224517287831163 0.103835625058998
"ferro" 0.05724917704308 0.0403616402970617 0.0247580928015845 0.0473757666551428 0 0.100689090966301
"oculos" 0.02862458852154 0.024216984178237 0.0660215808042254 0.0524974711584015 0.0673551863493489 0.0660772159466348
"caelum" 0 0.0282531482079432 0.094906022406074 0.0371323576486255 0 0.0676504829929832
"iamque" 0 0.024216984178237 0.00618952320039613 0.0704234369198069 0.0224517287831163 0.0943960227809068
"tempora" 0 0.0403616402970617 0.0392003136025088 0.0768255675488803 0.0224517287831163 0.0550643466221956
"mare" 0.05724917704308 0.048433968356474 0.117600940807526 0.0345715053969961 0.0449034575662326 0.0346118750196658
